RouteID,FlightDate,AcftMMS,AcftRegNum,PilotID,RouteDurationMin,RouteName,NoLandings,AirportCode
"6402","10/21/2017 12:00:00 AM","CESSNA 150G","3072S","4","65","3B3-Unkn","1","3B3",
"6402","10/21/2017 12:00:00 AM","CESSNA 150G","3072S","4","65","3B3-Unkn","1","Unkn Dest",
"6399","10/21/2017 12:00:00 AM","CESSNA 150G","3072S","4","109","3B3-KHIE-Unkn","2","Unkn Dest",
"6399","10/21/2017 12:00:00 AM","CESSNA 150G","3072S","4","109","3B3-KHIE-Unkn","2","Unkn Dest",
"6399","10/21/2017 12:00:00 AM","CESSNA 150G","3072S","4","109","3B3-KHIE-Unkn","2","KHIE",
"6399","10/21/2017 12:00:00 AM","CESSNA 150G","3072S","4","109","3B3-KHIE-Unkn","2","3B3",
"6389","10/14/2017 12:00:00 AM","CESSNA 150G","3072S","4","53","3B3","1","3B3",
"6389","10/14/2017 12:00:00 AM","CESSNA 150G","3072S","4","53","3B3","1","3B3",
"6376","10/7/2017 12:00:00 AM","CESSNA 150G","3072S","4","20","3B3","2","3B3",
"6376","10/7/2017 12:00:00 AM","CESSNA 150G","3072S","4","20","3B3","2","3B3",
"6376","10/7/2017 12:00:00 AM","CESSNA 150G","3072S","4","20","3B3","2","3B3",
"6376","10/7/2017 12:00:00 AM","CESSNA 150G","3072S","4","20","3B3","2","3B3",
"6363","10/1/2017 12:00:00 AM","CESSNA 150G","3072S","4","64","3B0-3B3","2","3B0",
"6363","10/1/2017 12:00:00 AM","CESSNA 150G","3072S","4","64","3B0-3B3","2","3B3",
"6363","10/1/2017 12:00:00 AM","CESSNA 150G","3072S","4","64","3B0-3B3","2","3B3",
"6363","10/1/2017 12:00:00 AM","CESSNA 150G","3072S","4","64","3B0-3B3","2","3B0",
"6339","9/24/2017 12:00:00 AM","CESSNA 150G","3072S","4","107","3B3","2","3B3",
"6339","9/24/2017 12:00:00 AM","CESSNA 150G","3072S","4","107","3B3","2","3B3",
"6339","9/24/2017 12:00:00 AM","CESSNA 150G","3072S","4","107","3B3","2","3B3",
"6339","9/24/2017 12:00:00 AM","CESSNA 150G","3072S","4","107","3B3","2","3B3",
"6335","9/16/2017 12:00:00 AM","CESSNA 150G","3072S","4","13","3B3-KFIT","1","3B3",
"6335","9/16/2017 12:00:00 AM","CESSNA 150G","3072S","4","13","3B3-KFIT","1","KFIT",
"6325","9/10/2017 12:00:00 AM","CESSNA 150G","3072S","4","80","0B7-KFIT","1","KFIT",
